cat,output
[1],5.817473503
[2],20.9415013
[3],23.27918021
[4],22.25502116
[5],38.91180836
[6],12.87740982
[7],26.66394668
[8],32.51521193
[9],35.6
[10],22.72913662
[11],5.079594014
[12],16.07963949
[13],3.223428918
[14],18.79135951
[15],15.71106608
[16],7.604499044
[17],28.74126565
[18],22.16354498
[19],15.28583409
[20],45.90823766
[21],11.89820387
[22],8.990467108
[23],10.29759892
[24],37.62581631
[25],14.94343782
[26],9.498040568
[27],2.833697478
[28],36.4304553
[29],2.758739389
[30],18.7206897
[31],12.41982039
[32],28.10160196
[33],1.150272564
[34],17.67820458
[35],35.04566962
[36],48.02065664
[37],27.64978027
[38],41.82271696
[39],18.47977931
[40],38.9078755
[41],26.51972899
[42],17.17483739
[43],19.66669187
[44],52.32064821
[45],30.02373196
[46],23.54009832
[47],43.56824495
[48],13.04527288
[49],31.58086314
[50],5.362975523
[51],10.73772327
[52],31.9980131
[53],25.80786722
[54],21.25593453
[55],0.192718134
[56],31.68804798
[57],3.507537322
[58],0.304505117
[59],23.40097847
[60],35.06150011
[61],19.40069306
[62],22.20409533
[63],2.895024919
[64],5.131445289
[65],15.94178482
[66],0.106383252
[67],36.41133098
[68],20.09817507
[69],0.997674313
[70],3.069616705
[71],33.84425713
[72],2.365539339
