pool_size,num_meet,num_redun,target_metric,count,avg_f_score,avg_accuracy,avg_efficiency
4,2,1,coop,9,0.67,0.59,0.82
6,2,2,coop,6,0.81,0.79,0.84
5,2,2,coop,5,0.56,0.54,0.77
6,2,1,coop,5,0.54,0.43,0.91
7,2,3,coop,4,0.82,0.84,0.81
5,2,1,coop,4,0.57,0.43,0.88
10,3,1,output,3,0.85,0.96,0.77
4,2,1,output,3,0.71,0.63,0.82
9,2,3,coop,2,0.85,0.82,0.89
10,2,3,output,1,0.93,0.93,0.92
10,2,3,coop,1,0.92,0.94,0.91
6,2,2,output,1,0.91,0.97,0.85
7,2,2,coop,1,0.91,0.95,0.88
7,2,3,output,1,0.88,0.92,0.84
9,3,1,output,1,0.66,0.68,0.64
5,2,3,coop,1,0.52,0.42,0.67
6,2,3,coop,1,0.45,0.32,0.75
10,2,1,output,1,0.0,0.0,0.96
